"Y","X","title"
"13.4356","52.538186","Greifswalder - / Thomas-Mann-Straße"
"13.435409","52.532621","Markt am Stierbrunnen (Pasteurstraße)"
"13.41888","52.542989","Markt am Helmholtzplatz"
"13.452206","52.539388","Flohmarkt Hanns-Eisler-Str. 93 / Kniprodestraße
Kaufhalle der Wohnanlage"
"13.487325","52.618118","Bucher Chaussee / Achillesstraße"
"13.451052","52.548533","Antonplatz"
"13.430604","52.552251","Caligariplatz"
"13.417079","52.536404","Neuer Markt am Kollwitzplatz"
"13.363298","52.580553","Trödelmarkt Kopenhagener Straße"
"13.302359","52.626595","Burgfrauenstraße"
"13.354374","52.596627","Wilhelmsruher Damm / Senftenberger Ring"
"13.307372","52.615944","Fellbacher Platz"
"13.35463","52.59735","Trödelmarkt Wilhelmsruher Damm 231-245"
"13.36583","52.560786","Trödelmarkt Markstr. 32"
"13.33009","52.57","Trödelmarkt Ollenhauer Straße 107"
"13.472268","52.50405","Trödelmarkt Marktstraße 39-40"
"13.36399","52.56026","Trödelmarkt Schuhcenter Siemes, Parkplatz Markstr. 17 - 18"
"13.290459","52.633502","KinderTrödelmarkt Zeltinger Platz, 13465 Berlin-Frohnau"
"13.285248","52.585002","Wochenmarkt in Tegel, Borsighallen"
"13.379475","52.44545","Rathausvorplatz"
"13.237001","52.544394","Haselhorst, Burscheider Weg"
"13.20684","52.562098","Hakenfelde, Michelstadter Weg"
"13.19673","52.523641","Wilhelmstadt, Brüderstraße"
"13.205635","52.538976","Altstadt Spandau - Markt
Havelländischer Land- und Bauernmarkt"
"13.194182","52.533683","Brunsbütteler Damm 26"
"13.165869","52.52135","Einkaufscenter Staaken / Obstallee"
"13.17081","52.550087","Flohmarkt Falkenseer Chaussee/Siegener Straße"
"13.245655","52.540423","Trödelmarkt METRO Spandau, Nonnendammallee 135"
"13.258016","52.540861","Trödelmarkt Siemensstadt"
"13.383004","52.512166","Trödelmarkt Wilhelmstr. 8"
"13.20847","52.55868","Trödelmarkt Streitstr. 18"
"13.129479","52.472672","Kinderflohmarkt in der Landstadt Gatow
Am Flugplatz Gatow, Ansprechpartner: Joachim Weiß, Tel.: 36 80 20 45"
"13.203916","52.536978","Spezialmarkt Â„15. WeinSommer Rheinland-PfalzÂ“ in Kooperation mit dem Spandauer Altstadtfest,
Marktplatz"
"13.212436","52.540052","Nachtmarkt auf der Zitadelle im Rahmen des Citadell Music Festivals, Am Juliusturm"
"13.321983","52.456807","Mehrerer Einträge..."
"13.327264","52.42786","Lichterfelde, Kranoldplatz"
"13.342439","52.440887","Rathaus Lankwitz, Leonorenstraße"
"13.312017","52.442859","Ludwig-Beck-Platz"
"13.272523","52.675748","Andrézeile (Ladiusmarkt)"
"13.258104","52.433515","Zeli - Eck"
"13.141813","52.412281","Wilhelmplatz"
"13.21652","52.43875","Markt Schlachtensee, Matterhornstr. 52/54, 14129 Berlin"
"13.260836","52.436317","Kastanienhof (Bauernmarkt)
Clayallee 347"
"13.28866","52.45842","Öko - Markt Domäne Dahlem
Königin-Luise-Str. 49"
"13.232972","52.436887","Mehrerer Einträge..."
"13.292064","52.419168","Antik- und Trödelmarkt auf dem OBI-Parkplatz Goerzallee"
"13.591095","52.510182","Mehrerer Einträge..."
"13.305088","52.458347","Mehrerer Einträge..."
"13.286666","52.422426","Trödelmarkt am Platz des 4. Juli, Osteweg Ecke Platz des 4. Juli"
"13.309276","52.46731","Mehrerer Einträge..."
"13.252661","52.449808","Wochenmarkt Onkel-Toms-Hütte, U-Bahnhof Onkel-Toms-Hütte"
"13.390448","52.433747","Mariendorfer Damm / Prinzenstraße"
"13.347448","52.409943","Tirschenreuther Ring
zwischen Waldsassener und Wiesauer Straße"
"13.354376","52.496518","Winterfeldtplatz"
"13.344988","52.484787","Mehrerer Einträge..."
"13.335985","52.472715","Breslauer Platz"
"13.362764","52.488946","Crellestraße"
"13.342985","52.501831","Mehrerer Einträge..."
"13.359094","52.418911","Trödelmarkt Malteserstraße
Malteserstr. 139, ehemaliger Aldi Parkplatz"
"13.390214","52.413127","Trödelmarkt METRO Marienfelde
Buckower Chaussee 25-35 Metroparkplatz"
