Y,X,title,href,descriptio,id,data
13.293893,52.488414,Charlottenbrunner Straße,http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/14,"Mo, Do<br />09:00 - 14:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/14"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/14,"{ ""id"": ""14"", ""bezirk"": ""Charlottenburg-Wilmersdorf"", ""location"": ""Charlottenbrunner Straße"", ""latitude"": ""52,488414"", ""longitude"": ""13,293893"", ""tage"": ""Mo, Do"", ""zeiten"": ""09:00 - 14:00"", ""betreiber"": ""Bezirksamt Charlottenburg-Wilmersdorf, Marktverwa"
13.311153,52.473277,Eberbacher Straße,http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/16,"Di, Fr<br />08:00 - 13:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/16"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/16,"{ ""id"": ""16"", ""bezirk"": ""Charlottenburg-Wilmersdorf"", ""location"": ""Eberbacher Straße"", ""latitude"": ""52,473277"", ""longitude"": ""13,311153"", ""tage"": ""Di, Fr"", ""zeiten"": ""08:00 - 13:00"", ""betreiber"": ""Bezirksamt Charlottenburg-Wilmersdorf, Marktverwaltung,"
13.299706,52.495271,Nestorstraße,http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/18,"Di, Fr<br />08:00 - 13:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/18"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/18,"{ ""id"": ""18"", ""bezirk"": ""Charlottenburg-Wilmersdorf"", ""location"": ""Nestorstraße"", ""latitude"": ""52,495271"", ""longitude"": ""13,299706"", ""tage"": ""Di, Fr"", ""zeiten"": ""08:00 - 13:00"", ""betreiber"": ""Bezirksamt Charlottenburg-Wilmersdorf, Marktverwaltung, Hohen"
13.326001,52.494019,Hohenzollernplatz,http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/20,"Mi, Sa<br />08:00 - 13:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/20"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/20,"{ ""id"": ""20"", ""bezirk"": ""Charlottenburg-Wilmersdorf"", ""location"": ""Hohenzollernplatz"", ""latitude"": ""52,494019"", ""longitude"": ""13,326001"", ""tage"": ""Mi, Sa"", ""zeiten"": ""08:00 - 13:00"", ""betreiber"": ""Bezirksamt Charlottenburg-Wilmersdorf, Marktverwaltung, H"
13.427676,52.481239,Mainzer Straße,http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/22,"Mo, Do<br />08:00 - 13:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/22"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/22,"{ ""id"": ""22"", ""bezirk"": ""Charlottenburg-Wilmersdorf"", ""location"": ""Mainzer Straße"", ""latitude"": ""52,481239"", ""longitude"": ""13,427676"", ""tage"": ""Mo, Do"", ""zeiten"": ""08:00 - 13:00"", ""betreiber"": ""Bezirksamt Charlottenburg-Wilmersdorf, Marktverwaltung, Hoh"
13.314225,52.490406,Mehrerer Einträge...,http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/24,"<strong>Fehrbelliner Platz</strong><br />Di, Do<br />11:00 - 16:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/24"">Mehr...</a><br /><br /><strong>Kunst- und Gebrauchtwarenmarkt, Fehrbell",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/24,"{ ""id"": ""24"", ""bezirk"": ""Charlottenburg-Wilmersdorf"", ""location"": ""Fehrbelliner Platz"", ""latitude"": ""52,490406"", ""longitude"": ""13,314225"", ""tage"": ""Di, Do"", ""zeiten"": ""11:00 - 16:00"", ""betreiber"": ""Bezirksamt Charlottenburg-Wilmersdorf, Marktverwaltung,"
13.290745,52.476532,Kolberger Platz,http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/26,"Mi, Sa<br />06:00 - 15:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/26"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/26,"{ ""id"": ""26"", ""bezirk"": ""Charlottenburg-Wilmersdorf"", ""location"": ""Kolberger Platz"", ""latitude"": ""52,476532"", ""longitude"": ""13,290745"", ""tage"": ""Mi, Sa"", ""zeiten"": ""06:00 - 15:00"", ""betreiber"": ""Marktleitung: \nHerr Schumann\nTel.: 033767\/806 01"", ""emai"
13.301881,52.499211,Bauernmarkt am Lehniner Platz,http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/28,"Sa<br />09:00 - 15:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/28"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/28,"{ ""id"": ""28"", ""bezirk"": ""Charlottenburg-Wilmersdorf"", ""location"": ""Bauernmarkt am Lehniner Platz"", ""latitude"": ""52,499211"", ""longitude"": ""13,301881"", ""tage"": ""Sa"", ""zeiten"": ""09:00 - 15:00"", ""betreiber"": ""Marktleitung: B-B-M Veranstaltungs- und Service G"
13.349274,52.514127,"Kunst- und Trödelmarkt 
Straße des 17. Juni",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/30,"Sa, So<br />10:00 - 17:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/30"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/30,"{ ""id"": ""30"", ""bezirk"": ""Charlottenburg-Wilmersdorf"", ""location"": ""Kunst- und Trödelmarkt \nStraße des 17. Juni"", ""latitude"": ""52,514127"", ""longitude"": ""13,349274"", ""tage"": ""Sa, So"", ""zeiten"": ""10:00 - 17:00"", ""betreiber"": ""Wewerka Märkte GmbH, \nTel."
13.299687,52.473475,"Trödelmarkt an der Mecklenburgischen Straße, Parkplatz Reichelt, Wiesbadener Str. 53 Ecke Mecklenburgische Straße",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/34,"So<br />08:00 - 16:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/34"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/34,"{ ""id"": ""34"", ""bezirk"": ""Charlottenburg-Wilmersdorf"", ""location"": ""Trödelmarkt an der Mecklenburgischen Straße, Parkplatz Reichelt, Wiesbadener Str. 53 Ecke Mecklenburgische Straße"", ""latitude"": ""52,473475"", ""longitude"": ""13,299687"", ""tage"": ""So"", ""ze"
